Date,Description,Debit,Credit,Balance
01/10/2026,Opening Balance,,,1240000
05/10/2026,Salary Payment - Staff Oct,220000,,1020000
10/10/2026,TechCorp Industries - Invoice INV-2201,,420000,1440000
15/10/2026,Rent Payment - Oct 2026,180000,,1260000
16/10/2026,Shakti Electronics - Component Purchase,1800000,,540000
18/10/2026,Apex Logistics - Freight Bill,250000,,290000
20/10/2026,State Power Board - Electricity,120000,,170000
28/10/2026,Client Order Partial Payment,,900000,1070000
05/11/2026,Payroll - Nov 2026,220000,,850000
12/11/2026,Global Electro-Components Payment,,1200000,2050000
25/11/2026,Factory Operations Nov,80000,,1970000
05/12/2026,Payroll - Dec 2026,220000,,1750000
10/12/2026,TechCorp Phase 2 Payment,,840000,2590000
